#{"t_start": 1770566283.4226465, "env_id": "AdroitHandRelocate-v1"}
r,l,t
-18.047956,100,3.076715
-78.237428,100,3.181414
-25.044833,100,3.283637
-115.529971,100,3.391671
-90.836415,100,3.524715
37.868137,100,3.621182
33.559488,100,3.728359
-20.988485,100,3.816087
-4.685543,100,3.928008
-20.058856,100,4.025206
-95.36306,100,5.531334
-57.831473,100,6.74247
-98.645129,100,7.942115
3.697649,100,9.153089
-56.631496,100,10.423549
-76.785371,100,11.540423
-73.552413,100,12.891966
-27.597117,100,14.118547
-23.610869,100,15.281362
-118.164927,100,16.282747
-494.498141,100,17.345826
-465.202044,100,18.461205
-518.958391,100,19.537711
-63.22155,100,20.587463
-49.672685,100,21.688553
-56.986582,100,22.567137
-6.956571,100,23.441983
22.961111,100,24.271141
-25.847104,100,25.103648
130.318953,100,25.931178
-9.613388,100,26.754782
42.618017,100,27.550137
-346.161954,100,28.360174
21.381708,100,29.217011
60.911964,100,30.050741
181.719874,100,30.865724
-31.854075,100,31.680552
158.220804,100,32.578602
11.981704,100,33.406535
-329.645713,100,34.181317
-19.579355,100,34.996729
-55.461576,100,35.793718
-32.763659,100,36.531591
133.351841,100,37.273349
-32.535111,100,38.029453
-377.633722,100,38.806507
-367.568879,100,39.565528
-26.48798,100,40.305654
-403.465235,100,41.029771
-75.945047,100,41.801018
-78.629246,100,43.433637
-2.521415,100,44.20159
-65.861591,100,44.991969
-65.129072,100,45.763199
-83.321743,100,46.55075
50.639734,100,47.292221
61.459252,100,48.081176
-488.291975,100,48.826988
102.611212,100,49.58848
89.415609,100,50.301906
27.942938,100,51.069686
-103.811261,100,51.827564
-53.693269,100,52.587497
130.92758,100,53.353411
131.669603,100,54.115438
151.191925,100,54.848379
94.340221,100,55.558121
-42.250946,100,56.292514
-90.134264,100,57.081287
-15.046485,100,57.819959
-62.988542,100,58.599449
-26.092179,100,59.365346
-63.23879,100,60.106702
-143.764555,100,60.841674
7.26458,100,61.518117
-475.881028,100,62.241574
11.598888,100,62.981347
102.888651,100,63.718415
107.926144,100,64.453287
166.069731,100,65.198782
146.397535,100,65.960901
96.78745,100,66.700962
201.073618,100,67.432567
62.463908,100,68.154624
-68.763887,100,68.951088
85.821448,100,69.725635
156.455118,100,70.475065
155.804946,100,71.215416
91.409818,100,72.02112
-495.927688,100,72.842005
85.890419,100,73.633449
184.381281,100,74.35768
131.458411,100,75.127249
94.363024,100,75.875205
92.106809,100,76.588162
-39.956979,100,77.315325
-388.871689,100,78.047781
-51.973364,100,78.781421
-25.193533,100,79.501177
-76.965095,100,80.200917
-58.600927,100,81.45892
-86.556296,100,82.186187
-248.332937,100,83.003313
-88.221633,100,83.893359
-77.132887,100,84.791727
-39.217374,100,85.719327
-19.250783,100,86.582024
-95.117287,100,87.474654
