#{"t_start": 1770585407.0542212, "env_id": "AdroitHandRelocate-v1"}
r,l,t
-20.76757,100,2.31376
23.684522,100,2.384968
2.346209,100,2.459651
-51.304084,100,2.532984
1.587117,100,2.616244
-30.968027,100,2.690502
-94.638722,100,2.767036
-81.749538,100,2.844137
-89.64957,100,2.926529
-27.309625,100,2.999811
-58.326779,100,4.329163
-22.050511,100,5.172641
-39.670667,100,6.001599
-30.717117,100,6.827968
-8.987536,100,7.645797
-461.380394,100,8.478044
-77.604382,100,9.279027
-11.251413,100,10.073956
-36.079935,100,10.865235
-45.664672,100,11.684462
-56.492994,100,12.45696
-405.827844,100,13.2671
-82.564708,100,14.047896
-91.347215,100,14.806174
-98.895609,100,15.553955
-89.45735,100,16.326479
-86.324927,100,17.130831
-108.193027,100,17.914795
41.272398,100,18.69012
2.059359,100,19.469059
-96.089924,100,20.251174
7.620251,100,21.026113
8.031634,100,21.82852
12.134625,100,22.687088
72.040922,100,23.468503
97.626305,100,24.332579
102.641343,100,25.155972
-81.387553,100,25.940083
1.611655,100,26.73044
9.62975,100,27.571672
34.573288,100,28.387107
-483.503204,100,29.168502
-4.073981,100,29.940187
-95.292346,100,30.722987
-22.491966,100,31.514774
-433.00046,100,32.332773
-33.067972,100,33.119414
-87.138391,100,33.903625
-484.987221,100,34.67775
-426.4857,100,35.442157
-23.443523,100,36.854913
-453.77077,100,37.709395
-87.326384,100,38.500631
-93.43131,100,39.319706
-114.756007,100,40.126985
-117.838929,100,40.94537
-77.522504,100,41.760348
-98.041269,100,42.593491
-73.583621,100,43.403701
-107.071301,100,44.227028
-88.360829,100,45.053164
-419.733755,100,45.95962
74.363939,100,46.753999
-86.045402,100,47.609842
-86.539556,100,48.416622
-60.490469,100,49.271532
-68.085449,100,50.096919
-100.468253,100,50.92327
-75.28601,100,51.742923
-75.781459,100,52.569855
-292.724251,100,53.463984
-444.035886,100,54.311039
-485.519708,100,55.142495
105.116733,100,55.963441
175.202069,100,56.832507
97.88659,100,57.662115
86.305713,100,58.607003
-62.30717,100,59.448906
105.828856,100,60.265926
61.490895,100,61.081718
111.373054,100,61.924207
123.145131,100,62.75034
49.781834,100,63.666953
167.505869,100,64.649805
-427.360447,100,65.487658
138.19913,100,66.273683
-460.792743,100,67.383513
118.749154,100,68.602524
43.880875,100,69.76474
207.649962,100,70.674616
149.586523,100,71.565346
-33.283308,100,72.447185
170.726701,100,73.535207
47.655201,100,74.447858
156.643939,100,75.367726
172.29958,100,76.31857
-179.049438,100,77.143133
69.661949,100,77.975671
-7.4767,100,78.792977
114.875281,100,79.639575
112.559646,100,81.005822
174.432909,100,81.944985
-16.030263,100,82.900109
-42.395604,100,83.876142
-336.107131,100,84.78689
130.96555,100,85.70313
174.398413,100,86.652928
148.308094,100,87.596178
-173.210234,100,88.502756
120.866714,100,89.529108
-414.597908,100,90.464766
126.030306,100,91.487538
171.711259,100,92.454938
63.007174,100,93.433895
-4.837464,100,94.439476
-54.78784,100,95.332529
120.279662,100,96.254425
-43.34682,100,97.188886
-92.104278,100,98.10166
0.075439,100,99.064586
-94.518496,100,100.023909
-75.441679,100,100.987581
-65.603648,100,101.966569
-37.513135,100,102.887094
79.923196,100,103.820532
37.211018,100,104.738434
137.923735,100,105.655615
-57.23193,100,106.553845
-62.090661,100,107.521472
9.770205,100,108.406393
6.633277,100,109.459501
-61.531058,100,110.401302
-62.566529,100,111.375102
15.967788,100,112.295782
31.433092,100,113.194861
-4.405919,100,114.122699
116.875165,100,115.073676
85.837555,100,116.017179
61.647024,100,116.968855
-30.512813,100,117.926883
-27.872091,100,118.898641
-52.329291,100,119.948222
10.109347,100,120.955828
-61.419182,100,121.874636
-57.230597,100,122.754252
-32.362667,100,123.666582
-27.557209,100,124.594985
-362.877195,100,125.503477
-67.962425,100,126.410264
-29.616731,100,127.291263
-367.538041,100,128.633405
-86.912734,100,129.509475
-101.587711,100,130.458402
-16.058157,100,131.366024
-401.388092,100,132.279581
117.51236,100,133.221262
131.24481,100,134.192661
-97.439643,100,135.100095
34.062003,100,136.046238
-452.600062,100,136.945866
16.172576,100,137.836643
80.302826,100,138.739099
121.765977,100,139.650894
19.647717,100,140.608978
91.416016,100,141.562953
117.57807,100,142.458445
134.87064,100,143.34865
97.626209,100,144.271541
92.806093,100,145.190427
78.937907,100,146.157128
84.539453,100,147.054303
118.055789,100,147.947973
149.42115,100,148.882863
86.614944,100,149.831032
-45.453718,100,150.832863
171.566681,100,151.783252
-326.151536,100,152.697659
-464.371169,100,153.58454
-340.308148,100,154.489373
104.474959,100,155.390637
98.583493,100,156.553776
-257.904467,100,157.47642
51.673848,100,158.411959
87.477465,100,159.398244
74.383037,100,160.424945
26.142832,100,161.418969
-31.136242,100,162.388587
-21.417394,100,163.393198
-9.573274,100,164.411578
-41.22927,100,165.41818
102.826464,100,166.460787
98.023613,100,167.434127
92.284854,100,168.444886
67.033571,100,169.406484
-34.043323,100,170.390651
15.168244,100,171.359956
123.335232,100,172.319417
97.573713,100,173.294424
164.918347,100,174.30736
169.081124,100,175.326079
151.92696,100,176.966763
159.530152,100,178.027079
-43.861813,100,179.012592
135.532309,100,179.99175
-59.184572,100,180.931075
-15.195208,100,181.902404
-4.024368,100,182.876661
142.594649,100,183.850963
-18.749818,100,184.868523
-34.399616,100,185.857531
-23.789254,100,186.847944
-57.842986,100,187.772985
-27.276097,100,188.732651
51.803381,100,189.641927
17.973346,100,190.531141
-41.278705,100,191.459995
-10.648329,100,192.379753
43.730421,100,193.292858
-102.407008,100,194.190331
-93.32896,100,195.108864
80.718017,100,195.999397
-71.114088,100,196.903707
-27.353746,100,197.783969
-54.475737,100,198.637046
-5.524727,100,199.546696
22.549926,100,200.450103
-365.712241,100,201.420251
-42.357261,100,202.31449
-9.265922,100,203.256818
35.7098,100,204.159318
179.362572,100,205.070938
96.67891,100,206.01036
82.989197,100,206.915988
-48.257141,100,207.849587
117.825256,100,208.738536
122.154092,100,209.657335
152.728867,100,210.919141
152.228161,100,211.944302
127.906599,100,213.050721
145.432433,100,214.042204
55.668086,100,215.003473
109.236044,100,216.137301
13.249914,100,217.045132
57.531552,100,217.987371
-9.921106,100,218.901055
-27.229464,100,219.812525
25.473329,100,220.739996
-1.936425,100,221.671551
-34.409503,100,222.650645
-87.267208,100,223.603138
-107.300169,100,225.018094
-9.780661,100,225.94424
-56.969094,100,226.832999
117.140152,100,227.739874
77.776603,100,228.678845
-17.202629,100,229.603265
79.078104,100,230.548235
-28.780419,100,231.456832
13.95975,100,232.433643
80.52809,100,233.380468
40.856239,100,234.330917
75.913525,100,235.294048
18.5723,100,236.203799
71.330823,100,237.126524
134.232126,100,238.071738
114.867852,100,239.038334
88.640384,100,239.935791
46.508602,100,240.838937
166.116128,100,241.7619
134.823926,100,242.651307
137.914414,100,243.62237
158.026627,100,244.541022
-367.286141,100,245.414369
-409.321139,100,246.279001
114.728188,100,247.14317
35.091136,100,248.017591
120.627314,100,248.920345
120.74836,100,249.776001
-71.764453,100,250.612116
185.463817,100,251.485979
179.189223,100,252.359152
55.257725,100,253.22653
103.873627,100,254.14275
-47.881088,100,254.997518
148.77407,100,255.880431
