#{"t_start": 1770598859.8250926, "env_id": "AdroitHandRelocate-v1"}
r,l,t,success,lifted,dist_to_target
-229.739992,100,17.782219,False,False,2.1357592227286792
-206.900487,100,23.02564,False,False,1.7448972547133892
45.1,100,28.823739,False,False,0.3887129831098455
47.2,100,34.077059,False,False,0.20423103740986978
-210.663248,100,39.497266,False,False,1.417876049149788
-338.2,100,44.226885,False,False,1.847540706801282
-285.448014,100,48.933927,False,False,1.2798503629626876
-302.7,100,53.753304,False,False,1.6749187224686564
-196.42537,100,58.413469,False,False,1.2360552225681851
-232.029315,100,63.067608,False,False,1.290627238274377
-311.6,100,67.315462,False,False,1.4037877635879314
-283.1,100,70.658992,False,False,1.4632804334186487
-276.686487,100,73.901625,False,False,1.29108763894266
100.220587,100,77.616824,False,False,0.28908096016242063
-313.9,100,81.678255,False,False,1.473177686762515
-315.1,100,85.754757,False,False,1.4183508985163107
-301.1,100,90.171471,False,False,1.4909303542071926
42.0,100,94.654027,False,False,0.2583979870888792
94.94491,100,99.087084,False,False,0.29227333662461463
175.583574,100,103.484713,False,False,0.3433612844551207
-270.863195,100,110.858767,False,False,1.1803073804355106
-292.7,100,115.333922,False,False,1.2289446493759821
60.040519,100,119.367035,False,False,0.23086923207742502
84.345614,100,123.33897,False,False,0.3323632175758573
-251.726229,100,127.122916,False,False,1.3093839574211843
76.428055,100,131.139434,False,False,0.18040414157421375
-102.000573,100,134.807019,False,False,0.9591866456235829
123.138914,100,139.131788,False,False,0.3283021987220554
104.791039,100,143.457196,False,False,0.2738946903242701
103.516767,100,147.715965,False,False,0.23402222334270747
-293.2,100,151.358237,False,False,1.2190663211469908
-299.6,100,155.937871,False,False,1.1527161802391421
-265.662137,100,159.897901,False,False,1.2707796964478002
96.881314,100,163.776497,False,False,0.31841051263436254
46.495153,100,167.585685,False,False,0.2165256299642011
-274.959235,100,171.239457,False,False,2.4611574233174562
-156.107877,100,175.383434,False,False,1.2513697017545642
-84.645034,100,178.862542,False,False,1.4586872719357193
159.064351,100,182.366562,False,False,0.2860724521586776
93.456791,100,185.211377,False,False,0.2976601791152385
-281.065876,100,189.745011,False,False,1.2399634556247898
12.174695,100,192.362879,False,False,0.5470840908009416
20.536133,100,194.964878,False,False,0.7092647482844021
97.640913,100,197.979902,False,False,0.16222367149528405
143.741728,100,200.881466,False,False,0.3184412002817888
-275.180952,100,204.137287,False,False,2.9728344610723516
63.963034,100,206.715314,False,False,0.48168493461094264
-244.173012,100,210.139309,False,False,1.2903023198934145
-273.378568,100,213.801472,False,False,1.5985342372867573
-267.178985,100,216.603074,False,False,1.2085897205617153
-332.4,100,219.49878,False,False,2.64030471238533
92.27966,100,222.122913,False,False,0.3676389577875094
-336.7,100,224.742925,False,False,1.8667355425657783
-360.0,100,227.397015,False,False,2.2786542759245245
106.780051,100,230.147726,False,False,0.12484107738665202
55.4,12,230.491503,True,False,0.09053252204157657
-280.086209,100,233.207003,False,False,1.389503101993495
-242.132779,100,236.029072,False,False,1.2875074466310494
-240.227811,100,238.727215,False,False,1.2046301718088774
56.2,14,239.073212,True,False,0.08457081217685304
-15.386139,100,243.733569,False,False,0.9803108349175343
53.9,9,244.04123,True,False,0.09025402413022135
-203.738346,100,248.297084,False,False,1.6245552912308598
0.020236,100,250.729107,False,False,1.1753268337117575
61.470454,11,251.057045,True,True,0.08590926966470416
126.268873,100,253.336008,False,False,0.4361755097506731
-64.301382,100,255.745313,False,False,1.7982217170937875
-130.194704,100,258.426144,False,False,2.1816105310800586
53.5,8,258.645007,True,False,0.0968097147150418
-96.160448,100,261.06448,False,False,1.7402101417394826
-117.934447,100,263.383963,False,False,1.9966479799572157
-203.519962,100,265.530509,False,False,1.7130477359204204
-153.369965,100,268.078912,False,False,2.40904150515388
-199.335397,100,270.361991,False,False,1.791856763625917
-320.6,100,273.194641,False,False,1.4831857111908466
-229.877248,100,275.761769,False,False,1.1850627672706573
85.387572,11,276.031244,True,True,0.08871080114215142
23.8,100,278.330438,False,False,0.5913536585682474
139.594319,19,278.907453,True,True,0.08436736032130523
-335.0,100,281.112454,False,False,1.3420908027285068
66.520906,8,281.267663,True,True,0.0881037562633978
135.473612,100,283.294988,False,False,0.19159733420180103
-268.00706,100,285.489647,False,False,1.9899380360049623
59.093842,6,285.612193,True,True,0.08123164859034432
66.018508,7,285.749317,True,True,0.08741878424783105
-214.137895,100,287.745983,False,False,1.467703189180696
145.360929,20,288.329634,True,True,0.09510198182491732
124.090512,17,288.814311,True,True,0.09546465484428868
138.251733,19,289.261914,True,True,0.07723747912244391
135.711411,18,289.655223,True,True,0.08932384009911555
-72.353696,100,292.408872,False,False,1.537044973495856
73.233235,9,292.780844,True,True,0.09314372673559827
98.970027,13,293.175031,True,True,0.08795881182404551
98.882838,12,293.50264,True,True,0.08955658129961451
-199.85201,100,298.028513,False,False,1.7450008568888256
163.925005,24,298.620892,True,True,0.08765044868094873
59.453668,100,301.384716,False,False,0.37402667460340333
143.930774,19,301.883552,True,True,0.09093334312240181
73.363585,9,302.163056,True,True,0.09664551205341952
66.405634,8,302.379374,True,True,0.09405967549049322
123.27143,100,305.187519,False,False,0.3359027726849652
-239.997003,100,307.538884,False,False,1.3900104499712098
-262.001314,100,309.698529,False,False,1.9448859687884923
-155.482389,100,312.269827,False,False,1.418861628440959
79.339656,9,312.477354,True,True,0.08787198580816384
-214.237545,100,314.54236,False,False,1.2496513207465116
86.486594,11,314.797694,True,True,0.09825215580882193
99.167624,13,315.059663,True,True,0.08870014750607333
86.086018,10,315.329467,True,True,0.06624942740150098
85.595758,10,315.614303,True,True,0.08898413736506477
-55.657247,100,317.86153,False,False,1.3522476763224387
59.401869,8,318.03165,True,True,0.0996261222031111
-316.059169,100,320.240676,False,False,1.7836537586304204
79.438083,9,320.461488,True,True,0.07639265882638
-26.453998,100,322.728629,False,False,1.6711016854748355
-160.833116,100,324.72879,False,False,2.04329479096861
59.09953,6,324.876144,True,True,0.08009405766509141
-232.246941,100,327.219988,False,False,1.9140456821442957
-201.368949,100,329.383499,False,False,1.8352065349188103
-68.580269,100,331.498227,False,False,2.059537705432602
-112.223261,100,333.48944,False,False,2.0872546326963604
-171.737605,100,335.842811,False,False,1.5319343516201944
-71.962557,100,338.057161,False,False,2.383098333967469
206.346414,29,338.680439,True,True,0.09642934261824629
-85.177565,100,340.815052,False,False,2.1465314955841914
-24.17428,100,343.07653,False,False,1.9093951452751154
-94.072499,100,346.503265,False,False,2.551963850038066
-63.6415,100,349.150236,False,False,2.070037394403622
-23.068754,100,351.800716,False,False,2.3302813698913645
136.648139,100,354.265308,False,False,0.7013727980063147
-6.945684,100,356.674412,False,False,1.7142982742213222
-87.369995,100,358.941834,False,False,3.1639713893960124
-2.279974,100,361.171577,False,False,2.33478315624036
-13.144052,100,363.375659,False,False,2.6593906885002565
-33.314064,100,365.757715,False,False,2.9626176646016855
92.250129,11,365.974838,True,True,0.098852778748779
5.28401,100,368.155318,False,False,3.6513664138277484
129.206705,100,370.381026,False,False,3.048500496948568
36.301059,100,372.447874,False,False,2.844480409229975
-38.228182,100,374.545099,False,False,3.2341209027648525
188.971003,100,376.790883,False,False,3.1551736594010795
44.9793,100,379.390173,False,False,3.0107861500342668
45.4,100,382.314179,False,False,0.2817134677618049
47.7,100,384.821297,False,False,0.39780888540643794
46.4,100,387.350806,False,False,0.33569047414230346
44.3,100,389.933403,False,False,0.26388045219716383
46.9,100,392.382336,False,False,0.2372641551740877
47.4,100,396.102718,False,False,0.2840167413340886
48.1,100,398.440063,False,False,0.20767270489927944
48.2,100,400.586335,False,False,0.28155053570233324
