#{"t_start": 1770647392.755297, "env_id": "AdroitHandRelocate-v1"}
r,l,t
29.1,100,1.997696
8.9,100,2.052109
30.9,100,2.113122
222.819271,100,2.167572
27.3,100,2.233045
33.0,100,2.291045
28.8,100,2.36583
33.3,100,2.452598
161.694915,100,2.540028
27.1,100,2.599744
17.2,100,3.789548
14.1,100,4.483638
28.3,100,5.19355
18.4,100,5.939678
224.003198,100,6.716686
9.3,100,7.627662
337.983181,100,8.349521
21.9,100,9.057968
40.619231,100,9.734119
26.2,100,10.433859
365.39802,100,11.724891
24.9,100,12.447711
21.394133,100,13.177838
18.7,100,13.912208
125.832858,100,14.609539
21.7,100,15.311344
142.010484,100,15.987705
170.10828,100,16.696346
127.453904,100,17.45509
12.0,100,18.169292
17.2,100,18.921188
26.3,100,19.665829
43.999662,100,20.369084
307.699689,100,21.084587
55.858402,100,21.84982
25.1,100,22.643619
16.7,100,23.407649
27.2,100,24.219129
25.2,100,25.024345
143.704755,100,25.825247
35.6,100,27.051126
101.630675,100,28.016064
103.403154,100,28.945445
36.2,100,29.705746
34.7,100,30.534178
57.77606,100,31.503785
38.0,100,32.430509
17.9,100,33.206224
383.559873,100,34.175611
21.129398,100,35.066526
87.831022,100,36.101928
616.668104,100,36.979337
24.405564,100,37.901543
27.9,100,38.671258
32.401917,100,39.459267
12.9,100,40.274246
13.0,100,41.464392
34.2,100,42.551233
25.6,100,43.838527
32.0,100,44.869491
11.4,100,46.229538
37.4,100,47.326763
183.611028,100,48.380137
614.382254,100,49.225284
333.885216,100,50.10391
145.775637,100,50.901806
261.38659,100,51.690863
36.7,100,52.648746
30.5,100,53.563393
581.053667,100,54.431369
593.996949,28,54.652215
16.8,100,55.45599
722.830435,100,56.243811
545.898801,15,56.356256
62.174941,100,57.086108
354.720581,100,57.874808
178.61172,100,58.631153
778.292609,100,59.404352
65.624683,100,60.156314
563.427297,100,60.87478
20.9,100,61.617865
11.4,100,62.879878
15.4,100,63.649298
528.225046,8,63.709148
25.4,100,64.469491
794.382334,35,64.768801
591.198726,34,65.062753
16.1,100,65.820109
17.1,100,66.73642
33.8,100,67.557548
31.9,100,68.360905
33.1,100,69.167377
35.4,100,70.283982
33.8,100,71.669686
29.3,100,73.176284
35.0,100,74.803754
31.8,100,76.175538
28.8,100,77.60547
32.7,100,78.986095
34.7,100,80.473835
25.4,100,81.729247
34.1,100,83.027106
126.048899,100,83.923542
27.1,100,88.126434
226.836983,100,89.216438
34.7,100,90.23632
36.7,100,91.162474
74.134408,100,92.094126
29.8,100,93.007427
37.1,100,94.000906
34.8,100,94.925374
23.446908,100,95.942731
80.545892,100,97.178397
52.380669,100,98.183795
17.5,100,99.355986
27.8,100,100.442606
