#{"t_start": 1770594585.9085808, "env_id": "AdroitHandRelocate-v1"}
r,l,t
44.7,100,1.988134
44.8,100,2.064233
43.9,100,2.14546
42.8,100,2.218094
43.7,100,2.300031
41.5,100,2.374386
43.6,100,2.458951
43.2,100,2.534585
38.2,100,2.615619
44.6,100,2.690651
46.9,100,4.108163
49.0,100,5.011728
47.9,100,5.798822
40.4,100,6.587183
41.1,100,7.455213
41.2,100,8.365903
41.0,100,9.169394
48.2,100,9.931878
48.7,100,10.681074
49.0,100,11.518312
49.1,100,12.83956
49.1,100,13.602521
49.1,100,14.381966
49.1,100,15.223508
-198.943647,100,15.978833
-257.376133,100,16.719309
48.0,100,17.561154
49.1,100,18.443772
49.1,100,19.227378
48.4,100,19.96154
47.0,100,20.730353
32.2,100,21.514496
32.0,100,22.301752
49.1,100,23.04107
49.0,100,23.851896
49.1,100,24.608281
38.6,100,25.385657
49.0,100,26.119211
-23.7,100,26.8757
-30.569636,100,27.657442
30.7,100,28.899814
-10.4,100,29.691114
-171.096634,100,30.463273
22.5,100,31.329545
22.0,100,32.127533
25.5,100,33.006608
20.0,100,33.821684
42.2,100,34.596901
38.9,100,35.375739
32.3,100,36.200188
33.7,100,37.065734
38.1,100,37.920814
36.6,100,38.727737
30.4,100,39.476357
39.9,100,40.244642
31.3,100,41.034528
37.5,100,41.818919
30.2,100,42.576242
31.8,100,43.431084
36.9,100,44.247064
32.7,100,45.485601
41.3,100,46.405931
44.0,100,47.368874
47.9,100,48.274267
34.1,100,49.150262
30.1,100,50.006137
45.1,100,50.842495
34.4,100,51.723261
41.2,100,52.58006
34.5,100,53.441704
41.6,100,54.322531
-228.3,100,55.228515
30.7,100,56.112242
-20.6,100,56.956784
46.4,100,57.841452
31.8,100,58.8084
48.7,100,59.662382
47.1,100,60.511972
47.3,100,61.367437
47.1,100,62.263318
46.9,100,63.569824
45.8,100,64.583355
45.3,100,65.668919
45.5,100,66.756443
46.1,100,67.943849
46.5,100,69.255233
47.4,100,70.240548
47.4,100,71.083533
47.6,100,71.985799
31.1,100,72.830145
27.7,100,73.731373
35.4,100,74.843664
31.9,100,75.762069
35.4,100,76.697423
25.9,100,77.638826
48.2,100,78.525109
28.1,100,79.370272
27.4,100,80.142376
28.0,100,80.941765
30.5,100,81.75447
28.2,100,82.86772
18.7,100,83.641771
-329.5,100,84.571784
-330.5,100,85.327705
-326.8,100,86.128914
-196.8,100,86.902582
23.5,100,87.69543
36.3,100,88.500566
-166.1,100,89.285345
-208.5,100,90.043494
-242.8,100,90.881757
-353.6,100,91.971588
24.3,100,92.765148
-324.9,100,93.671162
-359.2,100,94.632339
-199.9,100,95.528019
28.3,100,96.291811
-342.6,100,97.592266
31.0,100,98.385485
-333.4,100,99.157844
-349.0,100,100.634582
-323.2,100,101.53404
-322.9,100,102.453494
-219.9,100,103.280696
-351.9,100,104.074689
-199.8,100,104.91003
42.5,100,105.765029
44.6,100,106.59866
46.6,100,107.441713
46.0,100,108.325336
47.1,100,109.282995
40.6,100,110.325966
46.8,100,111.181088
43.3,100,112.093206
54.44137,100,112.938577
-21.7,100,113.994437
35.3,100,114.985631
-46.2,100,116.026552
47.2,100,117.052918
41.0,100,118.061686
45.3,100,119.711879
43.4,100,121.146378
38.6,100,122.422874
42.8,100,123.916212
48.3,100,125.050332
49.1,100,126.175076
49.0,100,127.585977
45.2,100,129.113826
46.8,100,130.661472
49.0,100,132.088843
41.3,100,133.535187
47.1,100,135.237163
45.3,100,136.629575
45.8,100,138.168359
39.8,100,139.466078
44.8,100,140.731677
46.4,100,141.922003
41.7,100,142.91137
45.5,100,144.38941
45.2,100,146.017375
43.1,100,147.550599
43.7,100,148.880897
49.0,100,150.333261
48.7,100,151.51487
43.2,100,152.407301
42.4,100,153.692849
41.8,100,155.009125
48.3,100,156.067569
41.1,100,157.096252
46.6,100,158.114324
47.5,100,159.233659
43.8,100,160.194951
48.5,100,161.293563
44.0,100,162.377938
48.5,100,163.407562
47.6,100,164.31108
48.9,100,165.344649
48.4,100,166.244712
48.3,100,167.21187
48.3,100,168.245996
48.7,100,169.569678
45.3,100,170.459698
45.2,100,171.388329
48.6,100,172.278457
46.3,100,173.170027
49.1,100,174.108058
46.4,100,175.091349
46.6,100,176.003306
45.9,100,176.940091
47.7,100,177.856296
47.1,100,178.754706
46.8,100,179.658808
46.6,100,180.651053
46.9,100,181.588958
44.8,100,182.513788
48.1,100,183.557488
48.6,100,184.47656
44.0,100,185.405161
45.0,100,186.364798
44.2,100,187.267377
43.8,100,188.67397
45.6,100,189.628868
45.0,100,190.478646
43.2,100,191.305922
90.181016,100,192.235085
45.2,100,193.063063
41.5,100,193.910109
-46.9,100,194.853821
48.6,100,195.76923
47.3,100,196.660099
45.8,100,197.6457
