#{"t_start": 1770597841.356516, "env_id": "AdroitHandRelocate-v1"}
r,l,t,success,lifted,dist_to_target
45.1,100,2.42299,False,False,0.1260387820855349
43.2,100,2.497361,False,False,0.3277789816491629
42.1,100,2.564222,False,False,0.22373294649497225
38.3,100,2.645228,False,False,0.14897399944891596
44.8,100,2.726199,False,False,0.15771323813402804
44.0,100,2.81256,False,False,0.22830590276733476
44.7,100,2.886197,False,False,0.12064615801527655
39.5,100,3.032052,False,False,0.270272092870307
44.0,100,3.206057,False,False,0.2478202393005015
40.0,100,3.336043,False,False,0.1950887405598586
33.8,100,4.989091,False,False,0.2276865835464983
29.4,100,6.454499,False,False,0.37981983156813964
28.7,100,8.047239,False,False,0.12940792234829154
24.6,100,8.984447,False,False,0.3894688688590387
14.4,100,10.439055,False,False,0.5582236194565142
-275.956555,100,12.007695,False,False,2.2570900392107895
-269.199346,100,13.311485,False,False,2.4580990532264626
-307.8,100,14.667837,False,False,1.3018765197061477
22.0,100,16.058725,False,False,0.33764528279391615
-312.8,100,17.01691,False,False,1.8672116338727638
-220.2,100,19.123784,False,False,1.266558421632532
45.1,100,21.07163,False,False,0.14776392856760262
19.5,100,22.567256,False,False,0.4228576219454765
27.5,100,23.663463,False,False,0.48911543484467596
-260.8,100,24.987817,False,False,1.588937046233061
45.0,100,26.334213,False,False,0.2693612526194604
48.5,100,27.639595,False,False,0.1364658219501094
45.3,100,29.006833,False,False,0.23044866829026497
46.0,100,30.4312,False,False,0.22834335965986083
30.5,100,31.530685,False,False,0.1788058173251266
24.1,100,33.081913,False,False,0.230261697989527
24.6,100,34.450754,False,False,0.5008265882826829
15.7,100,35.767339,False,False,0.34590209407400446
-160.312101,100,36.790226,False,False,2.1835938149803105
-211.199548,100,37.993223,False,False,1.883810115312047
31.6,100,39.232299,False,False,0.13455204337896373
46.9,100,40.476554,False,False,0.21192259412998202
44.6,100,41.792677,False,False,0.3530220661844131
45.0,100,43.070609,False,False,0.306641546672506
44.9,100,44.427067,False,False,0.16277588509719987
47.1,100,45.992352,False,False,0.15891308707987192
44.8,100,47.377908,False,False,0.14104692260358362
45.8,100,48.876222,False,False,0.3382293097626402
46.8,100,50.498197,False,False,0.19718527767959274
46.7,100,51.398233,False,False,0.346217528607501
47.2,100,52.766778,False,False,0.1896926933359926
47.4,100,54.304466,False,False,0.2044160205118442
27.5,100,55.824778,False,False,0.20290471967845558
-274.070896,100,57.340357,False,False,2.0668482200275684
47.2,100,58.642433,False,False,0.2171597992868155
45.0,100,59.681467,False,False,0.18332427632724868
45.2,100,61.240539,False,False,0.13808549428922232
46.5,100,62.798261,False,False,0.12766465276279926
45.6,100,64.442797,False,False,0.13831906614959955
46.8,100,65.745064,False,False,0.2768838417780018
46.7,100,67.232548,False,False,0.3201663140080182
46.9,100,68.636737,False,False,0.2203857898255614
46.6,100,70.056239,False,False,0.24456305932305636
45.2,100,71.319496,False,False,0.34132568872151925
44.1,100,72.786296,False,False,0.33255767062328434
33.0,100,74.803881,False,False,0.3426055121998986
22.3,100,76.413346,False,False,0.4804454826777515
31.0,100,77.938494,False,False,0.1448840792803142
31.9,100,79.82198,False,False,0.17599939956170374
31.1,100,81.582525,False,False,0.35141049168678123
24.8,100,83.654158,False,False,0.4904778236079176
-287.0,100,85.524567,False,False,1.856310475010787
-333.8,100,87.074501,False,False,2.1807838510077424
-340.7,100,88.494506,False,False,1.274727208902344
-300.9,100,89.873198,False,False,1.530241877807841
24.8,100,91.34682,False,False,0.13481362482476858
43.6,100,94.054153,False,False,0.32178580191969347
46.5,100,97.493267,False,False,0.3502519797823234
22.8,100,100.106896,False,False,0.13808557540909924
21.2,100,103.490443,False,False,0.698768288397441
26.2,100,107.851275,False,False,0.11622305356857258
-177.137383,100,112.291357,False,False,1.623030459168149
-279.8,100,115.571701,False,False,1.785053733455046
-46.83967,100,117.569841,False,False,1.8841077976894713
48.3,100,119.378172,False,False,0.30252979089254056
-114.9,100,121.950104,False,False,2.2753384353881976
48.9,100,123.749995,False,False,0.19334853352963394
48.6,100,125.709582,False,False,0.31490986852752456
20.5,100,127.674691,False,False,0.2985840670139941
36.4,100,129.748712,False,False,0.26168489409094403
39.8,100,131.596868,False,False,0.3484675306160863
36.0,100,133.324921,False,False,0.37218208475977516
43.0,100,134.988124,False,False,0.3787918276950589
28.4,100,136.848526,False,False,0.4568265941782968
-54.0,100,138.630652,False,False,0.7555258373734665
40.8,100,140.372527,False,False,0.467173639065483
47.4,100,142.12929,False,False,0.1662812215791444
48.2,100,143.594871,False,False,0.2657138762426722
45.6,100,145.175052,False,False,0.23551677062833817
47.5,100,146.876833,False,False,0.3625835882415913
30.6,100,148.787676,False,False,0.5629100936990421
48.1,100,150.830343,False,False,0.1326957441805969
47.0,100,152.933929,False,False,0.3939011584394317
-175.5,100,154.980581,False,False,2.8372725990124645
45.8,100,156.947855,False,False,0.392977256437962
46.4,100,159.67757,False,False,0.1750960068377712
47.1,100,161.425768,False,False,0.1420585633974851
47.5,100,163.123062,False,False,0.18383640229805143
47.8,100,166.47732,False,False,0.3514787558183421
28.9,100,168.513957,False,False,0.4717323364373546
-260.2,100,171.047497,False,False,1.7878312083449748
-249.5,100,172.921884,False,False,2.3282081901071696
35.2,100,174.883652,False,False,0.4816642071480103
24.7,100,177.109611,False,False,0.5405556516890119
25.0,100,179.131182,False,False,0.2537592262318494
23.8,100,181.339303,False,False,0.31323500371985175
-34.668505,100,183.540407,False,False,3.867747461694909
-116.155088,100,185.650109,False,False,2.1757108872180964
-180.273131,100,188.069964,False,False,1.4992891950484026
40.1,100,190.493572,False,False,0.16021869163660163
46.9,100,193.783758,False,False,0.3886291686049286
47.2,100,196.757502,False,False,0.3786274496971601
45.9,100,200.411193,False,False,0.1800539986401161
46.8,100,204.423548,False,False,0.3280140850684398
47.9,100,209.287231,False,False,0.25651773634561903
46.3,100,216.641947,False,False,0.1895389404454494
39.4,100,219.495562,False,False,0.3622468474757964
44.6,100,222.214052,False,False,0.27427692223534433
78.815676,100,224.899415,False,False,0.3380669544887489
